artikel,wort,plural,uebersetzung,kategorie,sekundaer_kategorie,alt
verben,anfangen,,starting
verben,anrufen,,calling (over phone)
verben,antworten,,answering
verben,arbeiten,,working
verben,aufraeumen,,tidying up
verben,aufstehen,,waking up
verben,ausfuellen,,filling (a form)
verben,ausschlafen,,falling asleep
verben,baken,,baking
verben,baden,,bathing
verben,begruessen,,greeting
verben,bekommen,,getting
verben,beschreiben,,describing
verben,besichtigen,,considering (a tourist attraction)
verben,bezahlen,,paying (for)
verben,bleiben,,staying
verben,boxen,,boxing
verben,brauchen,,needing
verben,bringen,,bringing
verben,buchstabieren,,spelling
verben,dauern,,lasting
verben,denken,,thinking
verben,einkaufen,,shop
verben,entschuldigen,,apologizing
verben,erzaehlen,,telling
verben,essen,,eating
verben,fahren,,driving
verben,es geht,,being (a state)
verben,fernsehen,,watching TV
verben,finden,,finding
verben,fotografieren,,photographing
verben,fragen,,asking
verben,fruehstuecken,,eating breakfast
verben,gefallen,,falling (in love)
verben,geben,,giving
verben,glauben,,believing
verben,grillen,,grilling
verben,heiraten,,marrying
verben,heissen,,be named
verben,hilfen,,helping
verben,hoeren,,hearing
verben,hingehen,,go to
verben,joggen,,jogging
verben,jonglieren,,juggling
verben,kaufen,,buying
verben,kennen,,knowing
verben,kennenlernen,,to get to know
verben,kochen,,cooking
verben,kommen,,coming
verben,kosten,,costing
verben,lachen,,laughing
verben,lieben,,loving
verben,liegen,,lying
verben,leben,,living
verben,lernen,,learning
verben,lesen,,reading
verben,meinen,,meaning
verben,machen,,making
verben,mitmachen,,taking part
verben,mitnehmen,,taking with
verben,nehmen,,taking
verben,moechten,,wanting
verben,putzen,,cleaning
verben,parken,,parking
verben,radfahren,,riding a bike
verben,rauchen,,smoking
verben,regnen,,raining
verben,sagen,,saying
verben,reisen,,travelling
verben,reiten,,riding (horse)
verben,reparieren,,repairing
verben,reservieren,,reserving
verben,sammeln,,collecting
verben,scheinen,,shining
verben,schicken,,sending
verben,schlafen,,sleeping
verben,schmecken,,taste
verben,schneien,,snowing
verben,schreiben,,writing
verben,singen,,singing
verben,skifahren,,skiing
verben,spazierengehen,,to go for a walk
verben,spielen,,playing
verben,stampeln,,stamping
verben,studieren,,studying
verben,unterrichten,,studying (a class)
verben,suchen,,searching
verben,surfen,,surfing (the internet)
verben,tanzen,,dancing
verben,telefonieren,,telphoning
verben,treffen,,meeting
verben,trinken,,drinking
verben,ueben,,exercising
verben,wandern,,wandering
verben,warten,,waiting
verben,vorstellen,,introducing
verben,unterschreiben,,signing
verben,vermieten,,renting (to someone)
verben,mieten,,renting (something)
verben,wohnen,,living
verben,waschen,,washing
verben,zeichnen,,drawing
verben,zeigen,,demonstrating
verben,zuhoeren,,listening
verben,chatten,,chatting
verben,sport machen,,doing sports
verben,loesen,,losing
verben,besuchen,,visiting
verben,koennen,,can (ability)
verben,programmieren,,programming
verben,wissen,,knowing
verben,mitkommen,,become friends
verben,abspuelen,,cleaning (dishes)
verben,ausleeren,,empties
verben,feieren,,celebrates
verben,hoffen,,wishes
verben,mitbringen,,brings with
verben,muessen,,must
verben,sparen,,sparing (money)
verben,stehen,,standing
verben,klingeln,,ringing
verben,laufen,,running
verben,los sein,,going on
verben,notieren,,noting down
verben,diskutieren,,searching
verben,verbringen,,spending
verben,anhaben,,wearing(..h-)
verben,ausgehen,,to go out
verben,aufmachen,,opening
verben,ausmachen,,closing
verben,anziehen,,wearing
verben,ankommen,,arriving(..k-)
verben,abholen,,collecting(a-)
verben,aussteigen,,get out (exit)
verben,einsteigen,,get in
verben,erklaeren,,explaining
verben,sitzen,,sitting
verben,aufpassen,,taking care
verben,aussehen,,appear
verben,basteln,,handcrafting
verben,gewinnen,,winning
verben,werden,,will
verben,einladen,,inviting
verben,holen,,bringing(h-)
verben,lassen,,having something done
verben,stimmen,,voting
verben,uebernachten,,staying over
verben,wollen,,wishing(w-)
